,City,Cloudiness,Country,Date,Lat,Long,Humidity,Max_Temp,Wind_Speed
376,Fortuna,40,US,1562100810,40.6,-124.16,63,68.0,18.34
377,Sept-Iles,75,CA,1562100774,50.2,-66.38,63,62.6,12.75
378,Tabou,100,CI,1562100811,4.42,-7.36,87,76.22,6.62
379,Ayr,0,AU,1562100812,-19.58,147.4,87,56.6,2.82
380,Prince Rupert,40,CA,1562100812,54.32,-130.32,87,59.0,4.7
381,Antofagasta,75,CL,1562100798,-23.65,-70.4,76,57.2,9.17
382,Vega de Alatorre,79,MX,1562100813,20.03,-96.65,55,87.56,4.68
383,Los Llanos de Aridane,90,ES,1562100813,28.66,-17.92,78,71.6,19.46
384,Pacific Grove,1,US,1562100814,36.62,-121.92,63,86.0,13.87
385,Tomatlan,0,MX,1562100815,19.93,-105.25,57,85.4,12.21
386,Soller,20,DE,1562100815,50.73,6.56,48,66.99,3.36
387,Daitari,100,IN,1562100816,21.11,85.83,88,77.48,1.92
388,Maua,28,KE,1562100816,0.23,37.94,89,48.68,4.14
389,Japura,94,ID,1562100817,-0.42,102.29,94,74.24,2.77
390,Tautira,40,PF,1562100817,-17.73,-149.15,69,80.01,9.17
391,Cookeville,1,US,1562100554,36.16,-85.5,52,93.0,4.7
392,Pierre,1,US,1562100818,44.37,-100.35,51,89.01,3.36
393,Kachiry,100,KZ,1562100819,53.07,76.1,59,64.7,11.5
394,Whitefish,1,US,1562100819,48.41,-114.33,38,75.99,2.68
395,Jammalamadugu,100,IN,1562100820,14.85,78.38,62,81.44,19.46
396,Beihai,0,CN,1562100820,38.95,121.19,60,71.6,2.24
397,Ixtapa,20,MX,1562100821,20.71,-105.21,55,90.0,16.11
398,Murray Bridge,3,AU,1562100821,-35.12,139.28,93,52.0,2.17
399,Teahupoo,40,PF,1562100822,-17.83,-149.27,69,80.01,9.17
400,Margate,75,AU,1562100683,-43.03,147.26,81,43.0,8.05
401,Mount Gambier,70,AU,1562100823,-37.83,140.78,69,56.24,2.91
402,Kyren,0,RU,1562100823,51.68,102.13,75,45.44,2.44
403,Lata,0,IN,1562100824,30.78,78.62,82,39.32,1.05
404,Maniitsoq,62,GL,1562100824,65.42,-52.9,75,40.76,2.82
405,Atar,0,MR,1562100826,20.52,-13.05,9,103.4,7.34
406,Coquimbo,0,CL,1562100826,-29.95,-71.34,76,55.4,11.41
407,Kushima,90,JP,1562100827,31.5,131.29,100,73.4,4.7
408,Saldanha,0,PT,1562100827,41.42,-6.55,31,75.32,1.81
409,Paso de Carrasco,0,UY,1562100646,-34.86,-56.05,62,55.99,11.41
410,Alofi,40,NU,1562100828,-19.06,-169.92,69,77.0,13.87
411,Grenfell,0,AU,1562100829,-33.9,148.16,85,36.44,6.6
412,Hebron,0,PS,1562100829,31.53,35.09,65,80.01,2.24
413,Buckeye,1,US,1562100809,33.37,-112.58,10,109.0,16.11
414,Dickinson,1,US,1562100831,46.88,-102.79,57,77.0,16.11
415,Aloleng,100,PH,1562100831,16.13,119.78,80,84.5,22.12
416,Yarmouth,75,CA,1562100831,43.84,-66.12,82,61.0,5.82
417,Port Lincoln,5,AU,1562100832,-34.72,135.86,76,58.22,8.68
418,Superior,40,US,1562100832,39.95,-105.17,41,87.01,6.93
419,Rabo de Peixe,20,PT,1562100833,37.8,-25.58,88,69.8,14.99
420,Batticaloa,100,LK,1562100833,7.71,81.69,77,76.4,1.95
421,Ipixuna,40,BR,1562100834,-1.76,-48.8,70,86.0,6.93
422,Springbok,0,ZA,1562100834,-29.67,17.88,54,51.92,2.82
423,Henties Bay,0,NA,1562100835,-22.12,14.28,80,55.99,12.93
424,Alexandria,0,RO,1562100819,43.97,25.33,48,77.66,3.0
425,Zyryanka,100,RU,1562100836,65.73,150.89,78,57.14,10.94
426,Loralai,0,PK,1562100836,30.37,68.6,48,79.46,3.96
427,Romita,75,MX,1562100837,20.87,-101.52,65,78.8,9.98
428,Weyburn,100,CA,1562100837,49.67,-103.85,54,64.0,11.01
429,Atambua,67,ID,1562100837,-9.11,124.89,79,78.2,11.36
430,Arlit,61,NE,1562100838,18.74,7.39,12,102.86,7.81
431,Boa Vista,75,BR,1562100838,2.82,-60.67,74,82.4,8.05
432,Matongo,0,BI,1562100839,-3.07,29.61,72,57.68,1.19
433,Sao Joao da Barra,0,BR,1562100839,-21.64,-41.05,65,78.8,6.93
434,Vilyuysk,100,RU,1562100840,63.75,121.63,64,49.04,14.41
435,Vostok,74,RU,1562100840,46.45,135.83,92,57.5,2.51
436,Opuwo,0,NA,1562100841,-18.06,13.84,27,54.62,7.65
437,Mandera,100,ET,1562100841,3.94,41.86,60,80.72,16.6
438,Mahebourg,75,MU,1562100842,-20.41,57.7,73,71.6,8.05
439,Barinas,99,VE,1562100842,8.64,-70.23,92,72.08,1.32
440,Yulara,0,AU,1562100843,-25.24,130.99,43,50.0,8.05
441,Saint-Joseph,0,FR,1562100843,43.56,6.97,83,80.6,3.2
442,Cabo San Lucas,5,MX,1562100763,22.89,-109.91,58,93.99,5.82
443,Bahawalnagar,0,PK,1562100845,29.99,73.25,25,99.98,7.65
444,Shache,0,CN,1562100845,38.42,77.24,88,80.01,8.66
445,Yerbogachen,67,RU,1562100846,61.28,108.01,64,54.62,6.53
446,Fuzhou,75,CN,1562100846,26.08,119.3,83,80.6,8.95
447,Moerai,18,PF,1562100847,-22.43,-151.33,68,70.64,30.0
448,Bilibino,100,RU,1562100847,68.06,166.44,69,51.38,0.31
449,Acapulco,75,MX,1562100848,16.86,-99.88,74,87.8,9.17
450,Xinqing,74,CN,1562100848,48.28,129.53,98,56.06,2.93
451,Christchurch,100,NZ,1562100577,-43.53,172.64,55,61.0,11.41
452,Chuy,100,UY,1562100849,-33.69,-53.46,74,53.18,16.58
453,Gejiu,79,CN,1562100850,23.36,103.16,95,61.46,4.36
454,Aljezur,0,PT,1562100850,37.31,-8.8,72,68.0,17.43
455,Washington DC.,3,US,1562100647,38.9,-77.04,52,95.0,3.36
456,Belyy Yar,40,RU,1562100851,53.6,91.39,100,57.2,2.24
457,Gondanglegi,96,ID,1562100852,-7.75,112.01,94,70.82,5.19
458,Kempele,0,FI,1562100854,64.91,25.51,71,55.4,8.05
459,Storm Lake,67,US,1562100854,42.64,-95.21,66,86.0,6.93
460,Asbestos,40,CA,1562100856,45.78,-71.93,50,84.99,11.41
461,Kaduna,100,NG,1562100858,10.52,7.44,84,76.04,4.12
462,Bolobo,34,CD,1562100860,-2.17,16.23,49,81.08,2.01
463,Mama,40,MX,1562100860,20.48,-89.36,50,97.0,9.17
464,Syracuse,1,US,1562100861,43.05,-76.15,69,81.0,4.7
465,Bathsheba,40,BB,1562100861,13.22,-59.52,62,86.0,17.22
466,Dicabisagan,100,PH,1562100862,17.08,122.42,84,74.6,2.17
467,Sechura,4,PE,1562100862,-5.56,-80.82,82,67.04,14.76
468,Shwebo,60,MM,1562100863,22.57,95.7,69,81.26,9.82
469,Kieta,47,PG,1562100863,-6.22,155.63,80,78.38,5.53
470,San Isidro,40,CR,1562100864,10.02,-84.06,57,82.4,12.75
471,Pergine Valsugana,100,IT,1562100864,46.06,11.24,79,71.01,13.0
472,Bilma,0,NE,1562100865,18.69,12.92,11,93.68,8.79
473,Charlestown,40,US,1562100865,41.38,-71.64,57,84.0,6.93
474,Abha,20,SA,1562100866,18.22,42.5,41,78.8,2.19
475,Sucre,0,BO,1562100866,-19.05,-65.26,16,73.4,17.22
476,Dongsheng,77,CN,1562100867,29.72,112.52,82,73.16,6.42
477,Ust-Maya,100,RU,1562100868,60.42,134.54,93,56.24,2.26
478,Oppdal,100,NO,1562100869,62.6,9.69,96,35.72,6.71
479,Hovd,40,NO,1562100870,63.83,10.7,75,46.99,19.46
480,Jhelum,0,PK,1562100892,32.94,73.72,21,97.1,2.57
481,Ballina,90,IE,1562100892,54.11,-9.15,76,57.2,9.17
482,Tyrma,12,RU,1562100893,50.04,132.17,97,56.24,3.33
483,Hanzhong,79,CN,1562100894,33.08,107.03,73,70.1,0.45
484,Fortuna Foothills,1,US,1562100894,32.66,-114.41,13,105.01,8.05
485,Hirara,100,JP,1562100895,24.8,125.28,82,84.14,27.09
486,Eydhafushi,100,MV,1562100895,5.1,73.07,71,83.24,9.33
487,Bambanglipuro,83,ID,1562100896,-7.95,110.28,87,75.86,11.3
488,Kaniv,8,UA,1562100896,49.76,31.46,91,64.7,8.03
489,Bismarck,1,US,1562100897,46.81,-100.78,54,87.8,6.93
490,Santa Lucia,0,IT,1562100897,41.98,12.66,50,80.01,1.12
491,Saint-Francois,0,FR,1562100898,46.42,3.91,56,73.4,5.88
492,Marsabit,34,KE,1562100898,2.34,37.99,33,84.32,16.8
493,Mujiayingzi,0,CN,1562100899,42.12,118.78,64,58.76,7.43
494,Curup,76,ID,1562100899,-3.47,102.53,98,65.6,1.19
495,Tizimin,40,MX,1562100900,21.14,-88.15,30,98.6,17.22
496,Zarand,0,IR,1562100900,30.81,56.57,27,84.2,11.41
497,Nara,75,JP,1562100900,34.68,135.8,88,73.99,2.24
498,Faya,20,SA,1562100901,18.39,42.45,41,78.8,1.7
499,Vrangel,100,RU,1562100901,42.73,133.08,97,57.32,2.75
500,Zharkovskiy,33,RU,1562100902,55.85,32.27,93,55.88,10.2
501,Honningsvag,75,NO,1562100902,70.98,25.97,87,48.2,8.05
502,Jijiga,92,ET,1562100903,9.35,42.8,87,60.74,7.72
503,Ust-Tsilma,100,RU,1562100903,65.44,52.15,98,58.4,6.44
504,Erzin,0,TR,1562100904,36.95,36.2,44,79.0,8.05
505,Westport,75,US,1562100904,41.14,-73.36,51,84.99,10.29
506,Kaduy,20,RU,1562100705,59.2,37.15,93,53.6,2.24
507,Turukhansk,43,RU,1562100905,65.8,87.96,67,63.08,5.03
508,Lucea,20,JM,1562100906,18.44,-78.17,66,89.6,13.87
509,Shingu,94,JP,1562100906,33.72,135.99,97,67.58,1.7
510,Leshukonskoye,70,RU,1562100907,64.9,45.76,68,56.96,3.53
511,Sorland,40,NO,1562100907,67.67,12.69,87,46.4,5.82
512,Duldurga,0,RU,1562100907,50.67,113.59,68,56.96,3.04
513,Nioro,86,GM,1562100908,13.79,-15.05,52,88.28,16.69
514,Norman Wells,75,CA,1562100908,65.28,-126.83,72,60.8,13.87
515,Daru,48,PG,1562100909,-9.07,143.21,90,71.18,5.21
516,Manokwari,83,ID,1562100909,-0.87,134.08,83,72.98,5.26
517,Sovetskiy,6,RU,1562100910,56.76,48.47,93,54.26,5.99
518,Araouane,0,ML,1562100910,18.9,-3.53,6,103.22,9.62
519,Hundested,51,DK,1562100911,55.97,11.85,62,57.2,11.41
520,Bubaque,30,GW,1562100911,11.28,-15.83,85,80.72,13.09
521,Bang Krathum,100,TH,1562100912,16.58,100.3,80,77.3,2.37
522,Samana,40,EC,1562100914,0.12,-76.97,65,84.2,3.36
523,Gizo,0,IL,1562100916,31.8,34.94,69,80.01,3.36
524,Adrar,15,DZ,1562100917,27.87,-0.29,11,107.6,13.87
525,Kenai,1,US,1562100917,60.55,-151.26,67,71.01,3.36
526,Karpathos,0,GR,1562100918,35.51,27.21,78,73.4,14.99
527,Pangkalanbuun,84,ID,1562100885,-2.68,111.62,99,73.34,1.61
528,Quattro Castella,20,IT,1562100919,44.63,10.47,48,84.2,3.36
529,Tucurui,88,BR,1562100919,-3.77,-49.67,64,82.7,2.51
530,Borinskoye,0,RU,1562100920,52.46,39.37,77,59.0,6.71
531,Huarmey,4,PE,1562100921,-10.07,-78.15,89,63.44,19.04
532,Fuerte Olimpo,39,BR,1562100921,-21.04,-57.87,49,80.9,5.93
